config,desi,mock_mean,mock_sigma,valid
1,-2.19095380e-03,-1.77262781e-03,7.66099954e-04,1
2,-1.38901663e-03,-1.19100023e-03,3.66886184e-04,1
3,-7.83994866e-04,-7.79872606e-04,3.77113090e-04,1
4,3.19946887e-04,-3.16399063e-05,3.11047348e-04,1
5,1.31462752e-03,1.04773805e-03,2.08010029e-04,1
6,1.27397699e-03,1.65143487e-03,3.92365877e-04,1
7,1.51900394e-03,1.74182346e-03,5.55765923e-04,1
8,nan,nan,0.00000000e+00,0
9,nan,nan,0.00000000e+00,0
10,nan,nan,0.00000000e+00,0
11,-9.07184717e-04,-1.10935419e-03,2.85032231e-04,1
12,-8.03860556e-04,-7.30755207e-04,2.82554716e-04,1
13,-1.63904693e-04,-2.93394754e-04,1.77789036e-04,1
14,5.71586250e-04,1.30650344e-04,2.55381555e-04,1
15,8.46223932e-04,5.26981858e-04,2.30838142e-04,1
16,9.27734671e-04,1.00703685e-03,2.07612857e-04,1
17,1.14788880e-03,1.21549097e-03,4.19901597e-04,1
18,nan,nan,0.00000000e+00,0
19,nan,nan,0.00000000e+00,0
20,-9.11797968e-04,-5.71379702e-04,3.00927119e-04,1
21,-6.22387687e-05,-4.18474255e-04,2.01387572e-04,1
22,8.06464561e-05,-1.78474726e-04,1.93309254e-04,1
23,7.67391005e-05,-3.27211164e-05,2.12006856e-04,1
24,3.58471722e-04,2.89183986e-04,1.49560324e-04,1
25,6.05583112e-04,7.88928836e-04,1.85107347e-04,1
26,6.52263762e-04,9.02486554e-04,3.51046746e-04,1
27,nan,nan,0.00000000e+00,0
28,1.32448065e-04,-3.74711997e-04,2.67844658e-04,1
29,2.61467161e-04,-2.11848428e-04,1.97393073e-04,1
30,-1.34320441e-04,-2.12014617e-04,1.98060423e-04,1
31,2.03732576e-05,-7.73178325e-05,1.99977655e-04,1
32,2.93635991e-04,2.48382210e-04,1.52075856e-04,1
33,6.82974790e-04,5.35382535e-04,1.17061879e-04,1
34,7.08473789e-04,5.95126249e-04,3.93243378e-04,1
35,1.85947719e-04,-1.79244687e-04,2.94973222e-04,1
36,-1.56613336e-05,-2.00341896e-04,2.04825329e-04,1
37,1.42110943e-04,-1.82836864e-04,1.95662815e-04,1
38,2.19010292e-04,2.18943450e-05,1.80370793e-04,1
39,4.41040830e-04,1.87165816e-04,1.37742550e-04,1
40,5.82615322e-04,4.17131466e-04,1.79108082e-04,1
41,-5.03876003e-05,-2.85104594e-04,2.03978618e-04,1
42,-8.27527563e-05,-2.52842405e-04,1.95804910e-04,1
43,-1.73842114e-04,-1.19583036e-04,1.38774128e-04,1
44,-2.24222289e-05,2.80640238e-05,1.60832852e-04,1
45,3.44987084e-04,2.30942548e-04,1.11897753e-04,1
46,6.45276891e-05,-2.85538781e-04,2.25504125e-04,1
47,-1.58452797e-04,-2.53971954e-04,1.88245206e-04,1
48,-1.07235277e-04,-1.00625758e-04,1.19112753e-04,1
49,7.62176797e-05,2.75683989e-05,1.18811504e-04,1
50,-8.47437970e-05,-2.02808032e-04,1.95976371e-04,1
51,-1.64245388e-04,-1.85700489e-04,1.19467096e-04,1
52,-1.09608972e-04,-8.94597710e-05,1.67921582e-04,1
53,-2.03568355e-04,-2.40052714e-04,1.83936194e-04,1
54,-2.89514082e-04,-1.67565979e-04,1.09449388e-04,1
55,-2.12373404e-04,-2.02321111e-04,1.56014033e-04,1
56,-8.80388979e-04,-7.74112533e-04,4.80709630e-04,1
