zbin,r3,desi,mock_mean,mock_sigma
1,55.0000,-8.17769370e-04,-9.02106282e-04,5.74673095e-04
1,65.0000,-9.06068363e-04,-8.43395408e-04,4.32351431e-04
1,75.0000,-1.22613253e-03,-5.92200963e-04,3.69788648e-04
1,85.0000,-4.76174421e-04,-5.09554389e-04,3.09846557e-04
1,95.0000,5.28129438e-05,-1.98169756e-04,2.60772171e-04
1,105.0000,1.23733414e-04,-7.17627737e-05,2.55220592e-04
1,115.0000,3.15364511e-04,3.04751605e-04,2.16092440e-04
1,125.0000,6.48043557e-04,7.73428589e-04,3.43937242e-04
1,135.0000,9.45677127e-04,7.97177197e-04,4.55442346e-04
1,145.0000,nan,nan,nan
2,55.0000,-7.38142879e-04,-6.03351286e-04,4.97205000e-04
2,65.0000,-6.65208138e-04,-5.68508079e-04,4.47804182e-04
2,75.0000,-4.85478749e-04,-5.41553164e-04,4.36243404e-04
2,85.0000,5.00167118e-04,-2.87091040e-04,3.22185003e-04
2,95.0000,1.18572405e-04,-1.49982026e-04,2.66738313e-04
2,105.0000,1.24975472e-05,2.40944580e-05,2.66305083e-04
2,115.0000,4.17565728e-04,2.66340286e-04,2.77828868e-04
2,125.0000,5.47331468e-04,8.11372024e-04,3.39930839e-04
2,135.0000,2.49687296e-04,1.05694518e-03,6.01567172e-04
2,145.0000,nan,nan,nan
