config,desi_full,full_mean,full_sig,desi_conn,conn_mean,conn_sig,valid
1,3.81986673e-02,3.18455080e-02,7.55430840e-03,-1.38834009e-02,-1.95271847e-02,7.24388045e-03,1
2,4.00237208e-02,3.53322919e-02,2.55814422e-03,-1.77686509e-03,-5.77460657e-03,2.04087655e-03,1
3,3.05309684e-02,2.48312612e-02,2.12047691e-03,-9.88135310e-04,-6.00984297e-03,1.83430470e-03,1
4,3.08258185e-02,2.62830865e-02,2.26777207e-03,3.22250414e-03,-7.95405171e-04,1.90329785e-03,1
5,2.95517865e-02,2.60250501e-02,2.31759887e-03,5.86426149e-03,2.70917097e-03,2.00965183e-03,1
6,2.29600219e-02,1.81845547e-02,2.28434422e-03,1.72240046e-03,-2.39075527e-03,2.05455603e-03,1
7,2.11215555e-02,1.81434239e-02,1.65020373e-03,3.79972337e-03,1.33072638e-03,1.46049109e-03,1
8,1.42162291e-02,1.14963197e-02,1.61936506e-03,-7.02139231e-03,-9.07899028e-03,1.59005361e-03,1
9,1.42492340e-02,1.29115313e-02,1.38076967e-03,-3.07259817e-03,-3.90116619e-03,1.19330522e-03,1
10,1.12169510e-02,1.00541755e-02,1.23867320e-03,-2.18909176e-03,-2.99590944e-03,1.10860153e-03,1
11,1.22300547e-02,1.18084573e-02,9.88949493e-04,3.61223777e-04,3.56375599e-04,9.23578492e-04,1
12,1.29634860e-02,1.20718720e-02,1.08043489e-03,2.63186702e-03,2.21779360e-03,1.05465515e-03,1
13,2.85625772e-02,2.63207109e-02,2.18155658e-03,1.23597655e-03,-4.09544983e-04,1.89701228e-03,1
14,2.58257856e-02,2.27342609e-02,1.55618477e-03,2.41497422e-03,-2.33382487e-04,1.23825699e-03,1
15,1.57041432e-02,1.26211312e-02,1.59253751e-03,-1.34097521e-03,-3.84333053e-03,1.50450536e-03,1
16,1.21729663e-02,9.58421268e-03,1.04761385e-03,-9.56362775e-04,-3.11763652e-03,8.14708240e-04,1
17,1.22782986e-02,1.03303123e-02,8.33828848e-04,6.86181369e-04,-7.73533640e-04,7.64348936e-04,1
18,9.75738944e-03,8.24502230e-03,8.26584731e-04,5.43849648e-04,-6.94214375e-04,7.36765896e-04,1
19,8.99091173e-03,8.61099189e-03,7.45119580e-04,1.31458387e-03,1.26975847e-03,6.56905742e-04,1
20,2.36113617e-02,2.26066629e-02,1.51029698e-03,1.79730053e-03,1.14628600e-03,1.29842972e-03,1
21,2.57036842e-02,2.29579367e-02,1.39833174e-03,5.42683496e-03,3.09556303e-03,1.09616531e-03,1
22,1.19740144e-02,1.05811658e-02,1.06093413e-03,4.41435430e-04,-6.13416931e-04,8.25973021e-04,1
23,1.11460514e-02,9.96809745e-03,8.42395050e-04,1.15068438e-03,3.71518018e-04,7.45824920e-04,1
24,1.02953280e-02,8.14073411e-03,1.03886876e-03,2.67853841e-03,7.08763937e-04,9.44473422e-04,1
25,5.46329303e-03,3.99404086e-03,1.78846105e-03,-4.02696045e-03,-5.29343158e-03,1.76450549e-03,1
26,6.49552533e-03,5.59447922e-03,8.44086279e-04,-1.45751622e-03,-2.09498996e-03,8.26773958e-04,1
27,5.56977141e-03,4.30925223e-03,7.76406189e-04,-8.46058212e-04,-1.78221369e-03,7.42545460e-04,1
28,1.75188242e-02,1.50167796e-02,1.47141643e-03,2.07045591e-03,5.95844035e-05,1.29865713e-03,1
29,1.12359356e-02,1.04627219e-02,1.02225543e-03,-2.96643364e-04,-7.31860788e-04,7.95797836e-04,1
30,1.08123888e-02,8.94523534e-03,7.90011177e-04,8.17021790e-04,-6.51344093e-04,7.22177666e-04,1
31,4.84932488e-03,4.82729799e-03,1.01623932e-03,-2.76746474e-03,-2.60467219e-03,8.53895759e-04,1
32,4.85762555e-03,3.79135077e-03,5.77426860e-04,-1.22195214e-03,-2.04261615e-03,5.11072728e-04,1
33,4.44423885e-03,4.12926242e-03,7.39518439e-04,-9.81269155e-05,-1.06701233e-04,6.63595918e-04,1
34,9.99281222e-03,8.94768126e-03,8.88446466e-04,7.10969731e-04,3.09711426e-05,7.10739765e-04,1
35,5.94775161e-03,5.57228131e-03,1.02717579e-03,-9.55513473e-04,-1.17981955e-03,8.72511312e-04,1
36,6.10735699e-03,4.22605208e-03,6.16820112e-04,7.41303831e-04,-9.28045520e-04,5.07427194e-04,1
37,4.82067534e-03,4.11944881e-03,9.21383120e-04,9.91834114e-04,5.63354470e-04,8.83678200e-04,1
38,3.21633424e-03,8.44415707e-04,1.14816179e-03,-1.66228345e-03,-3.64904695e-03,1.26918672e-03,1
39,1.04665629e-02,1.02128782e-02,7.70810354e-04,1.09802823e-03,1.25662623e-03,7.14953464e-04,1
40,7.81932321e-03,7.46782427e-03,8.37646360e-04,8.29365937e-04,6.76181574e-04,8.09466132e-04,1
41,5.23789118e-03,4.62657688e-03,4.13997508e-04,-2.14854160e-04,-5.67062548e-04,4.20650933e-04,1
