config,r12,r13,r14,r23,r24,r34
1,25.625,25.625,25.625,25.625,25.625,25.625
2,25.625,25.625,25.625,25.625,25.625,36.875
3,25.625,25.625,25.625,25.625,25.625,48.125
4,25.625,25.625,25.625,25.625,25.625,59.375
5,25.625,25.625,25.625,25.625,36.875,36.875
6,25.625,25.625,25.625,25.625,36.875,48.125
7,25.625,25.625,25.625,25.625,36.875,59.375
8,25.625,25.625,25.625,25.625,48.125,48.125
9,25.625,25.625,25.625,25.625,48.125,59.375
10,25.625,25.625,25.625,25.625,59.375,59.375
11,25.625,25.625,25.625,36.875,36.875,36.875
12,25.625,25.625,25.625,36.875,36.875,48.125
13,25.625,25.625,25.625,36.875,36.875,59.375
14,25.625,25.625,25.625,36.875,48.125,48.125
15,25.625,25.625,25.625,36.875,48.125,59.375
16,25.625,25.625,25.625,36.875,59.375,59.375
17,25.625,25.625,25.625,48.125,48.125,48.125
18,25.625,25.625,25.625,48.125,48.125,59.375
19,25.625,25.625,25.625,48.125,59.375,59.375
20,25.625,25.625,25.625,59.375,59.375,59.375
21,25.625,25.625,36.875,25.625,36.875,36.875
22,25.625,25.625,36.875,25.625,36.875,48.125
23,25.625,25.625,36.875,25.625,36.875,59.375
24,25.625,25.625,36.875,25.625,48.125,48.125
25,25.625,25.625,36.875,25.625,48.125,59.375
26,25.625,25.625,36.875,25.625,59.375,59.375
27,25.625,25.625,36.875,36.875,25.625,25.625
28,25.625,25.625,36.875,36.875,25.625,36.875
29,25.625,25.625,36.875,36.875,25.625,48.125
30,25.625,25.625,36.875,36.875,25.625,59.375
31,25.625,25.625,36.875,36.875,36.875,36.875
32,25.625,25.625,36.875,36.875,36.875,48.125
33,25.625,25.625,36.875,36.875,36.875,59.375
34,25.625,25.625,36.875,36.875,48.125,48.125
35,25.625,25.625,36.875,36.875,48.125,59.375
36,25.625,25.625,36.875,36.875,59.375,59.375
37,25.625,25.625,36.875,48.125,25.625,25.625
38,25.625,25.625,36.875,48.125,25.625,36.875
39,25.625,25.625,36.875,48.125,25.625,48.125
40,25.625,25.625,36.875,48.125,25.625,59.375
41,25.625,25.625,36.875,48.125,36.875,36.875
