cut,r,zeta_mean,zeta_sigma
equilateral,13.5000,4.05519494e-01,4.57158464e-02
equilateral,20.5000,4.30349380e-02,1.84510801e-02
equilateral,27.5000,2.01789859e-03,9.09006250e-03
equilateral,34.5000,-4.05725622e-03,7.49562755e-03
equilateral,41.5000,-2.94742776e-03,5.53546037e-03
equilateral,48.5000,-2.55609218e-03,3.93757027e-03
equilateral,55.5000,-1.29245677e-03,3.15014909e-03
equilateral,62.5000,-8.88745141e-04,2.73526158e-03
equilateral,69.5000,-4.93706530e-04,2.38138274e-03
equilateral,76.5000,-2.17380314e-04,2.32757923e-03
equilateral,83.5000,-2.12573991e-04,1.59128458e-03
equilateral,90.5000,5.63315861e-05,1.40531064e-03
equilateral,97.5000,1.28928022e-05,1.39843657e-03
equilateral,104.5000,-1.85234737e-04,1.32486441e-03
equilateral,111.5000,-1.46791431e-04,1.14787347e-03
equilateral,118.5000,-1.83081380e-04,1.14845064e-03
equilateral,125.5000,5.88780146e-05,1.00494707e-03
equilateral,132.5000,-1.07706519e-04,9.52271321e-04
equilateral,139.5000,9.80910220e-06,9.07205646e-04
equilateral,146.5000,6.35243178e-05,9.39398234e-04
isoceles_48_76,13.5000,nan,nan
isoceles_48_76,20.5000,1.24988920e-02,1.02227908e-02
isoceles_48_76,27.5000,7.34487480e-03,2.77389815e-03
isoceles_48_76,34.5000,3.67714093e-03,2.09650737e-03
isoceles_48_76,41.5000,1.19593228e-03,1.87648402e-03
isoceles_48_76,48.5000,2.47147698e-04,1.93043576e-03
isoceles_48_76,55.5000,-4.18597711e-04,1.50662792e-03
isoceles_48_76,62.5000,-7.67288384e-04,1.36887724e-03
isoceles_48_76,69.5000,-7.70938335e-04,1.33447450e-03
isoceles_48_76,76.5000,-5.30872789e-04,1.51809550e-03
isoceles_48_76,83.5000,-2.76126804e-04,1.04509408e-03
isoceles_48_76,90.5000,8.53542788e-06,1.13107100e-03
isoceles_48_76,97.5000,5.94187211e-05,9.91891727e-04
isoceles_48_76,104.5000,-4.48386850e-05,9.79041006e-04
isoceles_48_76,111.5000,8.29631946e-05,1.04390458e-03
isoceles_48_76,118.5000,4.34940912e-04,1.10641061e-03
isoceles_48_76,125.5000,5.62278799e-04,1.50876197e-03
isoceles_48_76,132.5000,1.45981240e-04,4.59192491e-03
isoceles_48_76,139.5000,nan,nan
isoceles_48_76,146.5000,nan,nan
