config,r1,r2,r3
1,55.000,55.000,55.000
2,55.000,55.000,65.000
3,55.000,55.000,75.000
4,55.000,55.000,85.000
5,55.000,55.000,95.000
6,55.000,55.000,105.000
7,55.000,55.000,115.000
8,55.000,55.000,125.000
9,55.000,55.000,135.000
10,55.000,55.000,145.000
11,55.000,65.000,65.000
12,55.000,65.000,75.000
13,55.000,65.000,85.000
14,55.000,65.000,95.000
15,55.000,65.000,105.000
16,55.000,65.000,115.000
17,55.000,65.000,125.000
18,55.000,65.000,135.000
19,55.000,65.000,145.000
20,55.000,75.000,75.000
21,55.000,75.000,85.000
22,55.000,75.000,95.000
23,55.000,75.000,105.000
24,55.000,75.000,115.000
25,55.000,75.000,125.000
26,55.000,75.000,135.000
27,55.000,75.000,145.000
28,55.000,85.000,85.000
29,55.000,85.000,95.000
30,55.000,85.000,105.000
31,55.000,85.000,115.000
32,55.000,85.000,125.000
33,55.000,85.000,135.000
34,55.000,85.000,145.000
35,55.000,95.000,95.000
36,55.000,95.000,105.000
37,55.000,95.000,115.000
38,55.000,95.000,125.000
39,55.000,95.000,135.000
40,55.000,95.000,145.000
41,55.000,105.000,105.000
42,55.000,105.000,115.000
43,55.000,105.000,125.000
44,55.000,105.000,135.000
45,55.000,105.000,145.000
46,55.000,115.000,115.000
47,55.000,115.000,125.000
48,55.000,115.000,135.000
49,55.000,115.000,145.000
50,55.000,125.000,125.000
51,55.000,125.000,135.000
52,55.000,125.000,145.000
53,55.000,135.000,135.000
54,55.000,135.000,145.000
55,55.000,145.000,145.000
56,65.000,65.000,65.000
57,65.000,65.000,75.000
58,65.000,65.000,85.000
59,65.000,65.000,95.000
60,65.000,65.000,105.000
61,65.000,65.000,115.000
62,65.000,65.000,125.000
63,65.000,65.000,135.000
64,65.000,65.000,145.000
65,65.000,75.000,75.000
66,65.000,75.000,85.000
67,65.000,75.000,95.000
68,65.000,75.000,105.000
69,65.000,75.000,115.000
70,65.000,75.000,125.000
71,65.000,75.000,135.000
72,65.000,75.000,145.000
73,65.000,85.000,85.000
74,65.000,85.000,95.000
75,65.000,85.000,105.000
76,65.000,85.000,115.000
77,65.000,85.000,125.000
78,65.000,85.000,135.000
79,65.000,85.000,145.000
80,65.000,95.000,95.000
81,65.000,95.000,105.000
82,65.000,95.000,115.000
83,65.000,95.000,125.000
84,65.000,95.000,135.000
85,65.000,95.000,145.000
86,65.000,105.000,105.000
87,65.000,105.000,115.000
88,65.000,105.000,125.000
89,65.000,105.000,135.000
90,65.000,105.000,145.000
91,65.000,115.000,115.000
92,65.000,115.000,125.000
93,65.000,115.000,135.000
94,65.000,115.000,145.000
95,65.000,125.000,125.000
96,65.000,125.000,135.000
97,65.000,125.000,145.000
98,65.000,135.000,135.000
99,65.000,135.000,145.000
100,65.000,145.000,145.000
101,75.000,75.000,75.000
102,75.000,75.000,85.000
103,75.000,75.000,95.000
104,75.000,75.000,105.000
105,75.000,75.000,115.000
106,75.000,75.000,125.000
107,75.000,75.000,135.000
108,75.000,75.000,145.000
109,75.000,85.000,85.000
110,75.000,85.000,95.000
111,75.000,85.000,105.000
112,75.000,85.000,115.000
113,75.000,85.000,125.000
114,75.000,85.000,135.000
115,75.000,85.000,145.000
116,75.000,95.000,95.000
117,75.000,95.000,105.000
118,75.000,95.000,115.000
119,75.000,95.000,125.000
120,75.000,95.000,135.000
121,75.000,95.000,145.000
122,75.000,105.000,105.000
123,75.000,105.000,115.000
124,75.000,105.000,125.000
125,75.000,105.000,135.000
126,75.000,105.000,145.000
127,75.000,115.000,115.000
128,75.000,115.000,125.000
129,75.000,115.000,135.000
130,75.000,115.000,145.000
131,75.000,125.000,125.000
132,75.000,125.000,135.000
133,75.000,125.000,145.000
134,75.000,135.000,135.000
135,75.000,135.000,145.000
136,75.000,145.000,145.000
137,85.000,85.000,85.000
138,85.000,85.000,95.000
139,85.000,85.000,105.000
140,85.000,85.000,115.000
141,85.000,85.000,125.000
142,85.000,85.000,135.000
143,85.000,85.000,145.000
144,85.000,95.000,95.000
145,85.000,95.000,105.000
146,85.000,95.000,115.000
147,85.000,95.000,125.000
148,85.000,95.000,135.000
149,85.000,95.000,145.000
150,85.000,105.000,105.000
151,85.000,105.000,115.000
152,85.000,105.000,125.000
153,85.000,105.000,135.000
154,85.000,105.000,145.000
155,85.000,115.000,115.000
156,85.000,115.000,125.000
157,85.000,115.000,135.000
158,85.000,115.000,145.000
159,85.000,125.000,125.000
160,85.000,125.000,135.000
161,85.000,125.000,145.000
162,85.000,135.000,135.000
163,85.000,135.000,145.000
164,85.000,145.000,145.000
165,95.000,95.000,95.000
166,95.000,95.000,105.000
167,95.000,95.000,115.000
168,95.000,95.000,125.000
169,95.000,95.000,135.000
170,95.000,95.000,145.000
171,95.000,105.000,105.000
172,95.000,105.000,115.000
173,95.000,105.000,125.000
174,95.000,105.000,135.000
175,95.000,105.000,145.000
176,95.000,115.000,115.000
177,95.000,115.000,125.000
178,95.000,115.000,135.000
179,95.000,115.000,145.000
180,95.000,125.000,125.000
181,95.000,125.000,135.000
182,95.000,125.000,145.000
183,95.000,135.000,135.000
184,95.000,135.000,145.000
185,95.000,145.000,145.000
186,105.000,105.000,105.000
187,105.000,105.000,115.000
188,105.000,105.000,125.000
189,105.000,105.000,135.000
190,105.000,105.000,145.000
191,105.000,115.000,115.000
192,105.000,115.000,125.000
193,105.000,115.000,135.000
194,105.000,115.000,145.000
195,105.000,125.000,125.000
196,105.000,125.000,135.000
197,105.000,125.000,145.000
198,105.000,135.000,135.000
199,105.000,135.000,145.000
200,105.000,145.000,145.000
201,115.000,115.000,115.000
202,115.000,115.000,125.000
203,115.000,115.000,135.000
204,115.000,115.000,145.000
205,115.000,125.000,125.000
206,115.000,125.000,135.000
207,115.000,125.000,145.000
208,115.000,135.000,135.000
209,115.000,135.000,145.000
210,115.000,145.000,145.000
211,125.000,125.000,125.000
212,125.000,125.000,135.000
213,125.000,125.000,145.000
214,125.000,135.000,135.000
215,125.000,135.000,145.000
216,125.000,145.000,145.000
217,135.000,135.000,135.000
218,135.000,135.000,145.000
219,135.000,145.000,145.000
220,145.000,145.000,145.000
